channelTitle,videoId,channelId,title,viewCount,likeCount,dislikeCount,commentCount,time,commentScore
nptelhrd,m2B8t8vzeUE,UC640y4UvDAlya_WOj5U4pfA,Introduction to Welding Engineering,84665,362,22,10,5264,0.32264
nptelhrd,Xt1zAWbccIQ,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-03 Vectors and Tensors,78972,517,20,27,1,0.0517
nptelhrd,6ju8mig4VoU,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction and course overview,81473,297,13,6,2576,0.38378
nptelhrd,5OxdXq91TV0,UC640y4UvDAlya_WOj5U4pfA,"Mod-01 Lec-01 Introduction, Basic definition of corrosion",152576,556,41,32,3419,0.20418
nptelhrd,UlRNHEMSGQE,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Lecture 1,95227,687,16,45,5577,0.28722
nptelhrd,OxIQhyAn9JE,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-02 DC -- DC converters,149669,715,43,34,3246,0.29008
nptelhrd,_gJPYgQQ01c,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Electronic switches,93525,402,7,39,3476,0.44898
nptelhrd,Dg5AIy0bY1A,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-03 DC -- AC converters,117565,531,41,23,3477,0.4368
nptelhrd,KR74TQesUoQ,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction to Finite Element Method,289597,1303,30,71,2945,0.1934
nptelhrd,_-5W9RvrjvA,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-04 Introduction to Finite Element Method,91587,369,5,35,2985,0.1457
nptelhrd,9Sf278j1GTU,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction,95505,235,11,16,3229,0.19928
nptelhrd,5vaYfd0fekI,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-23 Iron-Carbon Phase Diagram,491392,2934,153,94,3333,0.2446
nptelhrd,44NXK9_h3wE,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-37 Proofs in Indian Mathematics - Part 2,67275,618,23,51,2867,0.11318
nptelhrd,Yf_4Qv-A55Q,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Wave Paticle Duality,120646,802,20,37,2827,0.39084
nptelhrd,zVi5hx37yvw,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 What is sociology?,197334,1914,36,107,3272,0.31608
nptelhrd,Mwpz1zjPlzI,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Introduction,177355,670,10,32,2360,0.49592
nptelhrd,EyREi7l5020,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction to Mass Transfer,128397,319,22,34,2745,0.07498
nptelhrd,N01BYteinzE,UC640y4UvDAlya_WOj5U4pfA,Context and Scope of the Course,96444,361,4,14,3147,0.4155
nptelhrd,qcE2Wcpm05k,UC640y4UvDAlya_WOj5U4pfA,Energy Bands in Solids,109528,842,22,67,3205,0.57096
nptelhrd,BzkpfwR9bU0,UC640y4UvDAlya_WOj5U4pfA,Schottky Junction and Ohmic Contacts,86613,906,22,62,3381,0.22586
nptelhrd,TPm0XSPxld8,UC640y4UvDAlya_WOj5U4pfA,Lecture - 1 Introduction to Communication Engineering,290979,686,40,45,3385,0.17652
nptelhrd,0TZUHuPdnKA,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-08 Exchange Rate Arithmetic,68406,454,33,27,3775,0.36126
nptelhrd,_Ckh-60B6LY,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Principles of Condensed Matter Physics,85801,351,14,28,1731,0.37428
nptelhrd,Cj2M-T5HTsE,UC640y4UvDAlya_WOj5U4pfA,Stage Manners,79059,508,21,17,2994,0.5198
nptelhrd,osbozn9iV3g,UC640y4UvDAlya_WOj5U4pfA,Feedback on Presentations I,83956,484,12,26,2814,0.57388
nptelhrd,0AM35Nu5McY,UC640y4UvDAlya_WOj5U4pfA,Introduction,466915,4090,109,97,2970,0.53526
nptelhrd,Bef8QjIjCy0,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Rational Numbers and Rational Cuts,90053,353,13,26,3157,0.22396
nptelhrd,fa0zHI6nLUo,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction and Fundamental Concepts - I,760670,2432,74,198,3118,0.09208
nptelhrd,5H0euuo1PGQ,UC640y4UvDAlya_WOj5U4pfA,Mod-10 Lec-10 Kinematics of Fluid Part - I,101710,485,10,32,3206,0.2425
nptelhrd,vXPtNNLEOUc,UC640y4UvDAlya_WOj5U4pfA,Mod-04 Lec-04 Fluid Statics Part - I,159352,587,12,55,3241,0.53696
nptelhrd,KUDhXlnr-gU,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction to Stochastic Processes,75185,149,20,28,3311,0.0624
nptelhrd,9ujT1upyWVg,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-02 Wireless Channel and Fading,92997,295,17,40,3380,0.28256
nptelhrd,wO2HS7hcSb8,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01 Introduction to Plasmas,90482,615,14,37,3415,0.32388
nptelhrd,splvwSMAKd0,UC640y4UvDAlya_WOj5U4pfA,Mod-01 Lec-01Lecture-01,125322,487,16,19,3568,0.3186
