channelTitle,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,categoryId
CrashCourse,Crash Course Engineering Preview,386868,8595,92,0,740,PT2M10S,27
CrashCourse,Roman Engineering: Crash Course History of Science #6,517503,10389,354,0,793,PT12M29S,27
CrashCourse,The Americas and Time Keeping: Crash Course History of Science #5,305174,6044,146,0,518,PT12M49S,27
CrashCourse,Just Say Noh. But Also Say Kyogen: Crash Course Theater #11,102452,2485,46,0,154,PT12M55S,27
CrashCourse,Plato and Aristotle: Crash Course History of Science #3,657389,12211,286,0,645,PT12M29S,27
CrashCourse,The Presocratics: Crash Course History of Science #2,462016,9936,140,0,603,PT12M32S,27
CrashCourse,The Death and Resurrection of Theater as...Liturgical Drama: Crash Course Theater #8,85858,1859,39,0,131,PT12M34S,27
CrashCourse,Intro to History of Science: Crash Course History of Science #1,575068,15311,276,0,1039,PT12M20S,27
CrashCourse,Crash Course History of Science Preview,506312,9187,86,0,647,PT2M3S,27
CrashCourse,The Shape of Data: Distributions: Crash Course Statistics #7,251454,3988,86,0,197,PT11M23S,27
CrashCourse,"History of Media Literacy, Part 1: Crash Course Media Literacy #2",160231,3681,49,0,197,PT9M51S,27
CrashCourse,Tragedy Lessons from Aristotle: Crash Course Theater #3,219572,4248,84,0,214,PT12M30S,27
CrashCourse,Charts Are Like Pasta - Data Visualization Part 1: Crash Course Statistics #5,196034,3568,113,0,201,PT10M22S,27
CrashCourse,What Is Theater? Crash Course Theater #1,295941,6749,124,0,481,PT14M7S,27
CrashCourse,"Mean, Median, and Mode: Measures of Central Tendency: Crash Course Statistics #3",380756,6679,141,0,345,PT11M23S,27
CrashCourse,"Pride and Prejudice, Part 1: Crash Course Literature 411",465574,12897,131,0,536,PT11M44S,27
CrashCourse,Crash Course Theater and Drama Preview!,232961,5639,52,0,639,PT3M49S,27
CrashCourse,Mythical Language and Idiom: Crash Course World Mythology #41,262631,9741,97,0,1298,PT12M49S,27
CrashCourse,What Is Statistics: Crash Course Statistics #1,818325,14614,335,0,852,PT13M,27
CrashCourse,Crash Course Statistics Preview,528844,11353,77,0,892,PT3M,27
CrashCourse,Education In Society: Crash Course Sociology #40,189929,3553,297,0,288,PT11M32S,27
CrashCourse,The Yellow Wallpaper: Crash Course Literature 407,427320,10955,183,0,552,PT13M35S,27
CrashCourse,Serpents and Dragons: Crash Course World Mythology #38,526016,12355,229,0,1021,PT11M24S,27
CrashCourse,To Film School or Not To Film School: Crash Course Film Production #14,179292,5530,207,0,327,PT9M32S,27
CrashCourse,"George Orwell's 1984, Part 2: Crash Course Literature 402",600044,14376,252,0,1065,PT12M42S,27
CrashCourse,"1984 by George Orwell, Part 1: Crash Course Literature 401",1354134,30760,871,0,2477,PT14M28S,27
CrashCourse,"Ma'ui, Oceania's Hero: Crash Course World Mythology #31",659627,13654,264,0,994,PT13M24S,27
CrashCourse,Social Mobility: Crash Course Sociology #26,164148,3133,207,0,343,PT9M2S,27
CrashCourse,Rama and the Ramayana: Crash Course World Mythology #27,956494,13225,534,0,2528,PT13M25S,27
CrashCourse,Studying for Exams: Crash Course Study Skills #7,527819,14056,156,0,547,PT8M59S,27
CrashCourse,The Impacts of Social Class: Crash Course Sociology #25,200687,3781,229,0,494,PT9M24S,27
CrashCourse,Computer Networks: Crash Course Computer Science #28,511001,9531,179,0,402,PT12M20S,27
CrashCourse,The Epic of Gilgamesh: Crash Course World Mythology #26,1636637,27939,1172,0,2314,PT13M46S,27
CrashCourse,The Apocalyspe: Crash Course World Mythology #23,697724,11632,459,0,1539,PT12M3S,27
CrashCourse,Taking Notes: Crash Course Study Skills #1,1458613,43806,525,0,2038,PT8M51S,27
CrashCourse,Software Engineering: Crash Course Computer Science #16,533628,10436,202,0,798,PT10M35S,27
CrashCourse,Intro to Algorithms: Crash Course Computer Science #13,931314,16888,405,0,782,PT11M44S,27
CrashCourse,"Cultures, Subcultures, and Countercultures: Crash Course Sociology #11",483353,7644,366,0,654,PT9M40S,27
CrashCourse,Theories of Myth: Crash Course World Mythology #12,409944,8857,171,0,647,PT12M15S,27
CrashCourse,African Pantheons and the Orishas: Crash Course World Mythology #11,778408,19728,634,0,1932,PT11M10S,27
CrashCourse,The Norse Pantheon: Crash Course World Mythology #10,1112839,20251,460,0,1906,PT12M45S,27
CrashCourse,Indian Pantheons: Crash Course World Mythology #8,1123321,21840,1407,0,4115,PT12M31S,27
CrashCourse,Movies are Magic: Crash Course Film History #1,630415,16403,212,0,1004,PT9M44S,27
CrashCourse,Instructions & Programs: Crash Course Computer Science #8,483030,9091,105,0,529,PT10M36S,27
CrashCourse,Sociology Research Methods: Crash Course Sociology #4,553118,8003,318,0,579,PT10M11S,27
CrashCourse,Registers and RAM: Crash Course Computer Science #6,956976,20265,260,0,1206,PT12M17S,27
CrashCourse,Sociology & the Scientific Method: Crash Course Sociology #3,523632,8272,459,0,993,PT9M56S,27
CrashCourse,Major Sociological Paradigms: Crash Course Sociology #2,873326,14069,576,0,1457,PT9M39S,27
CrashCourse,What Is Sociology?: Crash Course Sociology #1,1804815,35385,1818,0,3628,PT9M42S,27
CrashCourse,Boolean Logic & Logic Gates: Crash Course Computer Science #3,1396030,27505,499,0,1294,PT10M7S,27
CrashCourse,Electronic Computing: Crash Course Computer Science #2,1097277,20374,306,0,959,PT10M44S,27
CrashCourse,Crash Course Sociology Preview,807206,12541,469,0,1430,PT1M20S,27
CrashCourse,Early Computing: Crash Course Computer Science #1,1921017,38982,765,0,1802,PT11M53S,27
CrashCourse,Assisted Death & the Value of Life: Crash Course Philosophy #45,658062,18206,259,0,2122,PT9M54S,27
CrashCourse,Light Is Waves: Crash Course Physics #39,643798,6975,314,0,623,PT9M45S,27
CrashCourse,Non-Human Animals: Crash Course Philosophy #42,666760,21032,903,0,7217,PT9M47S,27
CrashCourse,Discrimination: Crash Course Philosophy #41,583224,14785,2673,0,4018,PT9M7S,27
CrashCourse,What Is Justice?: Crash Course Philosophy #40,916281,16597,298,0,1799,PT10M15S,27
CrashCourse,Aristotle & Virtue Theory: Crash Course Philosophy #38,1616235,28305,362,0,1420,PT9M22S,27
CrashCourse,Contractarianism: Crash Course Philosophy #37,950818,16107,263,0,1695,PT9M32S,27
CrashCourse,Utilitarianism: Crash Course Philosophy #36,2394016,42114,684,0,3445,PT10M1S,27
CrashCourse,Kant & Categorical Imperatives: Crash Course Philosophy #35,1832592,27058,422,0,1643,PT10M27S,27
CrashCourse,Natural Law Theory: Crash Course Philosophy #34,1061514,15573,354,0,1293,PT9M39S,27
CrashCourse,Metaethics: Crash Course Philosophy #32,1098643,18671,283,0,2098,PT9M34S,27
CrashCourse,Electric Charge: Crash Course Physics #25,1165431,14220,428,0,907,PT9M42S,27
CrashCourse,How Words Can Harm: Crash Course Philosophy #28,659089,21713,8788,0,6318,PT10M46S,27
CrashCourse,Thermodynamics: Crash Course Physics #23,858633,10803,402,0,854,PT10M4S,27
CrashCourse,Determinism vs Free Will: Crash Course Philosophy #24,1815322,39793,999,0,9200,PT10M26S,27
