videoId,score
8wvBSa_uBkw,0.16605
qirN3zFJWCE,0.807
sqRmidn9i7c,0.6588
sDBpqTCDYpE,0.8591
43DjixEMk5E,0
33muO1wGv8w,0.20995
IG-fhwAPFJw,0.5859
hr9wirOTVIw,0.3062
13SQxda-OTA,0.6705
qNT7Qidomq0,0
wPAKyJL1TtM,-0.0572
dRhhjw57aXA,0.4404
-0mnrhMaUZQ,0.4902
bkNEVuilolg,0.5106
NH4DOlVZA20,0.1363
D5kVFVwkdLs,0.4404
rVd5WnS7HIs,0
kfEpy3doMKU,0
H05hh0wnsts,-0.23005
Ibrj8pRX8Zg,0.7177
K6xAqL84rbM,0.45185
JZthrNq3fuc,0.8016
k4ujOMz-x6o,0
unw-p1YPhus,0
HQPA5oNpfM4,0.117158281
Vufba_ZcoR0,0.162479983
videoId,0
P3GagfbA2vo,0.33864
etmRI2_9Q_A,0.049
F38BmgPcZ_I,0.29512
a6XtBLDmPA0,0.09436
szxPar0BcMo,-0.05458
jvnU0v6hcUo,0.00392
X0zudTQelzI,-0.07404
QV7CanyzhZg,0.15054
qCLmR9-YY7o,0.27476
TpcbfxtdoI8,-0.1028
itsb2SqR-R0,0.2661
TG55ErfdaeY,0.04536
8kK2zwjRV0M,0.09296
oPf27gAup9U,0.36552
CBezq1fFUEA,0.05884
vfe-eNq-Qyg,0.16682
sQK3Yr4Sc_k,-0.08906
00jbG_cfGuQ,0.14594
rlx6ur_D51s,-0.35424
Hs_JMydrxZM,0.02422
xzWL2XPBHMk,0.01644
U6KR4cLLVzQ,-0.20642
dPXNZkGYJHM,0.11704
T7Rv4tGRlfc,-0.2034
meC5Zl5PC1U,-0.29354
gV0_raKR2UQ,0.10038
MN8fjAjLLpg,0.233
eBA7P-zKbi8,-0.15084
_HK5gpg39pY,0.23318
KSjDe9_jZk8,-0.40148
kiInh5STnyQ,0.12402
cXTaP1BD1YY,-0.26854
_uKp4FHPjHU,0.14232
zjK7PWmRRyg,0.24842
DuVw9sGpWUc,-0.24486
5fJl_ZX91l0,0.38204
k108xCzJhbs,-0.14354
NnoFj2cMRLY,0.05572
6nGCGYWMObE,0.57718
lgKrup5oi_A,0.2694
oV3ZY6tJiA0,0.0648
VwlrvAvcO28,0.5274
GvYYFloV0aA,0.2059
YYPAFqQgbqE,-0.0231
cmKHYpC_jVs,-0.39036
mU2dhPlJWyY,0.35568
0eO0pPrGi6o,0.07224
wOclF9eP5uM,-0.17
Fzq_yuj-oZM,0.20208
tecocKSclwc,0.412
rNCw2MOfnLQ,0.1462
8E-oqahDnb8,0.3783
M5YKW6fhlss,0.56666
KrwtWKPAcRs,0.32354
p7uvqb8fcdA,-0.09956
hxhbOvR2TGk,0.07282
3xdmEwTIsd0,0.27698
ih4dY9i9JKE,0.26646
uNfUAJBuZ0s,0.26706
GoQG6Tin-1E,-0.0127
c7fqMPDcKXM,0.23278
pLlv2o6UfTU,0.0855
uHUO6PrsOzg,0.01942
L4aNmdL3Hr0,0.11824
JoscDcbAjbY,0.15236
oOuu8IBd-yo,0.23282
JeCKftkNKJ0,0.13392
WWqE7YHR4Jc,0.5632
dfsUz2O2jww,0.12212
V2381lUhqc0,0.02442
K4CKmYSMT_0,0.14858
iZOXW5aaCZg,0.39378
VxCORJ8dN3Y,0.36842
0wDlLwLIFeI,0.1195
O6lENrRANxY,0.30334
aRKyJRAxjpM,0.1488
iGiZXQVGpbY,0.07392
F6Su3rBxea8,0.3259
btGYcizV0iI,0.25478
bkVsus8Ehxs,-0.01888
ToC8rFFp88Y,0.0263
GcReek3z_38,0.17754
dCBDUDwaeCA,-0.02298
J1IyUPMXwS0,0.13442
rh0fxJkvL44,0.55714
epCOGAa7tRQ,0.14032
kX0jHv05FYM,0.1207
YvtCLceNf30,0.12174
bPFNxD3Yg6U,-0.01868
oXf0F4GYzWQ,0.1226
nGlQkaoIfBI,0.20526
hEWY6kkBdpo,0.45134
sNWrOuwzax8,-0.29348
kn83BA7cRNM,0.57266
5xTh44G6RYs,0.13576
LEN8FZEKaNU,0.16172
qmpDK-8ib2Y,0.05208
sxQaBpKfDRk,-0.13
zouPoc49xbk,0.39092
S294zRodS_4,0.08488
rtepIKeNHPU,0.19412
SWXNSkE3YEk,0.08944
rIrLuqTRqr0,0.00516
JBYqV2sK918,-0.18392
H9ipRaLa4Jw,0.10232
eBB3RKazIj8,0.295
GjuV-XdYHhA,0.59174
qsuqbPda5uo,0.1512
mLhwdITTrfE,-0.11148
0a21mndoORE,0.10602
3QhU9jd03a0,0.18398
sWppk7-Mti4,0.35028
FyZFoa7Vu1o,0.45802
E7CwqNHn_Ns,0.32318
O753uuutqH8,0.453
rL8X2mlNHPM,0.10404
RV50AV7-Iwc,0.17818
blFaiB5kj6I,0.15774
J2se_zimj40,0.07298
CyU54gV_PWM,-0.0015
V_NJAJGCKD8,-0.25618
vsnB4iBb78o,0.0343
zltgXvg6r3k,0.3245
QwhK-iEyXYA,0.26556
fpnE6UAfbtU,0.02122
ZIwyNIdgJBE,0.35476
DbTt_ySTjaY,0.42906
YnCJU6PaCio,0
gI-qXk7XojA,0.08804
LN0ucKNX0hc,0.30802
ylXVn-wh9eQ,0.01302
O5nskjZ_GoI,0.37258
3IsloHmKvWA,0.24612
IRBfpBPELmE,0.04438
y3-BX-jN_Ac,0.46972
RsldtV4jWA0,0.09154
H0CTHVCkm90,-0.35736
PrvtOWEXDIQ,0.13814
2Co6pNvd9mc,-0.14944
8bIys6JoEDw,0.33066
r_UfYY7aWKo,0.44896
FOoffXFpAlU,0.13332
TFlVWf8JX4A,0.1725
1ESU5ONMMxs,0.092
4i1MUWJoI0U,0.11716
vCGtkDzELAI,0.23638
WfNiQBXmPw8,0.06732
bDpW1sHrBaU,-0.0006
jxstE6A_CYQ,0.47678
fJefjG3xhW0,0.31052
17WiQ_tNld4,-0.26486
mjQwedC1WzI,-0.04324
w4QFJb9a8vo,0.37414
4XQXiCLzyAw,0.26392
AYkhlXronNk,0.3346
gs_gY1K1AMU,0.20846
kKKM8Y-u7ds,0
7Qtr_vA3Prw,0.35536
7e9v_fsZB6A,-0.02564
w3BhzYI6zXU,0.18952
TgisehuGOyY,0.8546
ObHJJYvu3RE,0.25352
cbBKoyjFLUY,-0.01782
kXhJ3hHK9hQ,0.2683
5C-s4JrymKM,-0.1977
dqxQ3E1bubI,0.58402
MLKrmw906TM,0.42484
PMhIQNkO_Y0,-0.13556
Sb_-wfmJnHA,0.11122
UWImfFax8Ew,0.11396
_tULRch1PRQ,-0.0583
1A_CAkYt3GY,0.18952
sDqGzMdhL1M,0.3656
13JOGWzY8kE,-0.06462
jDF-N3A60DE,0.34936
IGCVTSQw7WU,0.23572
rd2cf5hValM,0.13428
gzLM6ltw3l0,0.3968
2DFN4IBZ3rI,-0.06448
9B7Ix2VQEGo,0.04618
GIJK3dwCWCw,0.25304
0xMCWr0O3Hs,0.37256
9MpVjxxpExM,-0.02854
2A5QlpAyKSQ,0.46612
SUdAEGXLO-8,-0.0566
Z2zA9nPFN5A,0.0231
tZvjh1dxz08,0.20274
I82ADyJC7wE,0.25594
RFDatCchpus,0.37716
j_k_k-bHigM,0.0352
l128tW1H5a8,0.21138
NflULVECAFQ,0.02414
1dq7mMort9o,0.13854
fR3NxCR9z2U,0.4708
qZWPBKULkdQ,-0.24418
RrMvUL8HFlM,0.28076
PWx9DurgPn8,0.07818
yIoTRGfcMqM,0.21764
UHiUYj5EA0w,0.22366
bHZsvBdUC2I,0.21374
_4O1OlGyTuU,0.24794
